Product Name,Name,Packages Group,City (from Packages Group),Product Type,Product Source,Product Provider,From Date,To Date,Product Duration (Number of weeks),Item Description,Price,GST Included,Installment Plan,Default Payment Term,Number Of Payments,Minimum Payment,Product Priority,Product Grade,Recommend,Display On Quote,Display On Invoice,Quote Product,Contract Product,Invoice Product,Last Modified,Created,Quote,Application_TS Program,Camp MGT,Package Products
Time Study_Settlement Service,Settlement Service,,,Settlement Service,,Time Study,2026-01-13,,,"TFN, Mobile Phone, Banking",$200.00,,,,,,,,,,,,,,2026-01-13 5:33pm,2025-05-25 3:16pm,,,,
Time Study_Visa Service,Visa Service,,,Visa Service,,Time Study,2026-01-13,,,Student Visa Only,$500.00,,,,,,,,,,,QTE P-2,,,2026-01-13 5:33pm,2025-05-25 3:16pm,,,,
Time Study_School Information,School Information,,,Education Consulting,,Time Study,2026-01-13,,,,,,,,,,,,,,,,,,2026-01-13 5:14pm,2025-05-25 3:16pm,,,,
Time Study_Vodafone Prepaid $35,Vodafone Prepaid $35,,,Settlement Service,,Time Study,2026-01-13,,,,$35.00,,,,,,,,,,,,,,2026-01-13 5:34pm,2025-05-25 3:16pm,,,,
Time Study_Airport Pick-up Service,Airport Pick-up Service,,,Airport Pickup,,Time Study,2026-01-13,,,,$190.00,,,,,,,,,,,,,,2026-01-13 5:52pm,2025-06-09 5:55pm,,,,
Time Study_Internship Program,Internship Program,,,Internship Service,,Time Study,2026-01-13,,,,$1400.00,,,,,,,,,,,,,,2026-01-13 5:21pm,2025-05-25 3:16pm,,,,
Time Study_Local Support Service,Local Support Service,,,Settlement Service,,Time Study,2026-01-13,,,,,,,,,,,,,,,,,,2026-01-13 5:14pm,2025-08-29 9:53pm,,,,
Time Study_Homestay Placement,Homestay Placement,,,Homestay Placement,,Time Study,2026-01-13,,,,$400.00,,,,,,,,,,,QTE P-8,,,2026-01-15 1:50am,2025-06-09 5:54pm,,,,
Time Study_Homestay_Single Room (Over 18)-Standard,Homestay_Single Room (Over 18)-Standard,,,Homestay Placement,,Time Study,2026-01-13,,,"2 meals Monday to Friday, 3 meals on weekends",$420.00,,,,,,,,,,,,,,2026-01-13 5:32pm,2025-05-25 3:16pm,,,,
Time Study_Homestay_Single Room (Over 18)-Complete,Homestay_Single Room (Over 18)-Complete,,,Homestay Placement,,Time Study,2026-01-13,,,"3 meals, 7 days per week",$450.00,,,,,,,,,,,,,,2026-01-13 5:32pm,2026-01-13 5:26pm,,,,
