Product Type Name,Description,Product Group,Product,Status,Modified On,Created On
Industry Placement,,Job Placement,,Active,2026-01-13 4:52pm,2026-01-13 12:52pm
Short Course,,,,Active,2026-01-13 4:50pm,2026-01-13 12:52pm
Farm Job,,Job Placement,,Active,2026-01-13 4:52pm,2026-01-13 12:52pm
Day Tour,,,"Thanks Tour_Great Ocean Road,Thanks Tour_Puffing Billy & Phillip Island,Thanks Tour_Sovereign Hill,_Great Barrier Reef Cruise,_Magnetic Island Tour",Active,2026-02-26 3:20pm,2026-01-13 12:52pm
Settlement Service,,,"Time Study_Settlement Service,Time Study_Vodafone Prepaid $35,Time Study_Local Support Service",Active,2026-01-13 5:13pm,2026-01-13 12:52pm
Education Service,,,,Active,2026-01-13 4:50pm,2026-01-13 12:52pm
ELICOS,,,,Active,2026-01-13 4:50pm,2026-01-13 12:52pm
Certificate I,,,,Active,2026-01-13 4:50pm,2026-01-13 12:52pm
Doctoral Degree,,,,Active,2026-01-13 4:50pm,2026-01-13 12:52pm
Health Examination Service,,,,Active,2026-01-13 4:50pm,2026-01-13 12:52pm
Airport Pickup,,,Time Study_Airport Pick-up Service,Active,2026-01-13 5:13pm,2026-01-13 12:52pm
Migration Service,,,,Active,2026-01-13 4:50pm,2026-01-13 12:52pm
Diploma,,,,Active,2026-01-13 4:50pm,2026-01-13 12:52pm
Bachelor Degree,,,,Active,2026-01-13 4:50pm,2026-01-13 12:52pm
Associate Degree,,,,Active,2026-01-13 4:50pm,2026-01-13 12:52pm
Aupair / Demi-pair,,,,Active,2026-01-13 4:50pm,2026-01-13 12:52pm
Insurance Service,,,,Active,2026-01-13 4:50pm,2026-01-13 12:52pm
Masters Degree,,,,Active,2026-01-13 4:50pm,2026-01-13 12:52pm
Certificate IV,,,,Active,2026-01-13 4:50pm,2026-01-13 12:52pm
Schooling_Standard,,,,Active,2026-01-13 4:50pm,2026-01-13 12:52pm
Schooling_Short-term,,,,Active,2026-01-13 4:50pm,2026-01-13 12:52pm
Certificate III,,,,Active,2026-01-13 4:50pm,2026-01-13 12:52pm
Graduate Diploma,,,,Active,2026-01-13 4:50pm,2026-01-13 12:52pm
Accommodation Service,,,,Active,2026-01-13 4:50pm,2026-01-13 12:52pm
Insurance Service,,,,Active,2026-01-13 4:50pm,2026-01-13 12:52pm
Visa Service,,,Time Study_Visa Service,Active,2026-01-13 5:12pm,2026-01-13 12:52pm
Non AQF Award,,,,Active,2026-01-13 4:50pm,2026-01-13 12:52pm
Advanced Diploma,,,,Active,2026-01-13 4:50pm,2026-01-13 12:52pm
Certificate II,,,,Active,2026-01-13 4:50pm,2026-01-13 12:52pm
Graduate Certificate,,,,Active,2026-01-13 4:50pm,2026-01-13 12:52pm
Homestay Placement,,,"Time Study_Homestay Placement,Time Study_Homestay_Single Room (Over 18)-Standard,Time Study_Homestay_Single Room (Under 18)-Standard,Time Study_Homestay_Shared Room (Over 18)-Standard,Time Study_Homestay_Shared Room (Under 18)-Standard,Time Study_Homestay_Single Room (Over 18)-Complete,Time Study_Homestay_SharedRoom (Over 18)-Complete,Time Study_Homestay_Single Room (Under 18)-Complete,Time Study_Homestay_Shared Room (Under 18)-Complete",Active,2026-01-13 5:28pm,2026-01-13 12:52pm
Internship Service,,,Time Study_Internship Program,Active,2026-01-13 5:13pm,2026-01-13 12:52pm
Other,,,,Active,2026-01-13 4:50pm,2026-01-13 12:52pm
Education Consulting,,Education Service,Time Study_School Information,Active,2026-01-13 5:14pm,2026-01-13 5:13pm
Short-term Schooling Package,,Package Program,,Active,2026-04-12 4:01pm,2026-04-12 4:00pm
Summer Camp Package,,Package Program,,Active,2026-04-12 4:01pm,2026-04-12 4:00pm
English Camp Package,,Package Program,,Active,2026-04-12 4:01pm,2026-04-12 4:00pm
